Coach,Tm,sea_w/franc_count,sea_overall_count,rs_curr_sea_G,rs_curr_sea_W,rs_curr_sea_L,rs_w/franc_G,rs_w/franc_W,rs_w/franc_L,rs_career_G,rs_career_W,rs_career_L,rs_career_W%,po_curr_sea_G,po_curr_sea_W,po_curr_sea_L,po_w/franc_G,po_w/franc_W,po_w/franc_L,po_career_G,po_career_W,po_career_L,season,team_id,coy_share,won_coy,sum_coach_playoff_games,sum_coy_shares
Doc Rivers,PHI,2,23,82,51,31,154,100,54,1778,1043,735,0.587,12.0,6.0,6.0,24.0,13.0,11.0,204.0,104.0,100.0,2022,71,0.0,0.0,192.0,1.453
Nate McMillan,ATL,2,18,82,43,39,120,70,50,1369,731,638,0.534,5.0,1.0,4.0,23.0,11.0,12.0,76.0,28.0,48.0,2022,1,0.0,0.0,119.0,2.388
Mike Budenholzer,MIL,4,9,82,51,31,309,213,96,719,426,293,0.592,12.0,7.0,5.0,60.0,38.0,22.0,99.0,55.0,44.0,2022,17,0.0,0.0,87.0,1.949
Frank Vogel,LAL,3,11,82,33,49,225,127,98,820,431,389,0.526,0.0,0.0,0.0,27.0,18.0,9.0,88.0,49.0,39.0,2022,14,0.0,0.0,88.0,0.444
Dwane Casey,DET,4,13,82,23,59,302,104,198,982,477,505,0.486,0.0,0.0,0.0,4.0,0.0,4.0,55.0,21.0,34.0,2022,9,0.0,0.0,55.0,0.837
Erik Spoelstra,MIA,14,14,82,53,29,1113,660,453,1113,660,453,0.593,18.0,11.0,7.0,161.0,96.0,65.0,161.0,96.0,65.0,2022,16,0.144,0.0,143.0,0.835
Michael Malone,DEN,6,8,72,47,25,473,266,207,579,305,274,0.527,10.0,4.0,6.0,43.0,20.0,23.0,43.0,20.0,23.0,2021,8,0.01,0.0,33.0,0.318
Monty Williams,PHO,2,7,72,51,21,145,85,60,539,258,281,0.479,22.0,14.0,8.0,22.0,14.0,8.0,32.0,16.0,16.0,2021,24,0.68,0.0,10.0,0.022000000000000002
Steve Clifford,ORL,3,8,72,21,51,227,96,131,637,292,345,0.458,0.0,0.0,0.0,10.0,2.0,8.0,21.0,5.0,16.0,2021,22,0.0,0.0,21.0,0.366
Doc Rivers,PHI,1,22,72,49,23,72,49,23,1696,992,704,0.585,12.0,7.0,5.0,12.0,7.0,5.0,192.0,98.0,94.0,2021,71,0.048,0.0,180.0,1.405
Terry Stotts,POR,9,13,72,42,30,720,402,318,1003,517,486,0.515,6.0,2.0,4.0,62.0,22.0,40.0,67.0,23.0,44.0,2021,66,0.0,0.0,61.0,0.6020000000000001
Billy Donovan,CHI,1,6,72,31,41,72,31,41,472,274,198,0.581,0.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,23.0,2021,5,0.0,0.0,41.0,0.27
Dwane Casey,DET,3,12,72,20,52,220,81,139,900,454,446,0.504,0.0,0.0,0.0,4.0,0.0,4.0,55.0,21.0,34.0,2021,9,0.0,0.0,55.0,0.837
Stephen Silas,HOU,1,1,72,17,55,72,17,55,72,17,55,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,11,0.0,0.0,0.0,0.0
Stan Van Gundy,NOP,1,13,72,31,41,72,31,41,979,554,425,0.566,0.0,0.0,0.0,0.0,0.0,0.0,91.0,48.0,43.0,2021,19,0.0,0.0,91.0,0.40099999999999997
J.B. Bickerstaff,CLE,2,5,72,22,50,83,27,56,299,112,187,0.375,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2021,6,0.0,0.0,5.0,0.0
Rick Carlisle,DAL,13,19,72,42,30,1033,555,478,1525,836,689,0.548,7.0,3.0,4.0,71.0,33.0,38.0,133.0,63.0,70.0,2021,7,0.0,0.0,126.0,1.2489999999999999
